iter	Passed	Remaining
0	142	42477
1	143	21381
2	144	14348
3	146	10815
4	147	8712
5	148	7290
6	150	6283
7	151	5520
8	152	4925
9	153	4448
10	154	4057
11	155	3731
12	156	3461
13	157	3226
14	159	3021
15	160	2841
16	161	2682
17	162	2543
18	163	2421
19	164	2307
20	165	2203
21	166	2106
22	167	2021
23	169	1943
24	170	1871
25	171	1804
26	172	1741
27	173	1683
28	174	1629
29	175	1580
30	177	1536
31	178	1492
32	179	1450
33	180	1410
34	181	1373
35	182	1340
36	183	1307
37	184	1275
38	186	1246
39	187	1218
40	189	1195
41	190	1169
42	191	1144
43	192	1120
44	193	1097
45	195	1077
46	196	1056
47	197	1036
48	198	1016
49	199	997
50	200	979
51	201	962
52	202	945
53	203	929
54	205	913
55	206	898
56	207	883
57	208	869
58	209	855
59	210	842
60	211	829
61	212	816
62	213	804
63	215	793
64	216	781
65	217	770
66	218	758
67	219	748
68	220	738
69	221	728
70	222	719
71	224	709
72	225	700
73	226	690
74	227	682
75	228	674
76	229	665
77	230	657
78	232	649
79	233	641
80	234	633
81	235	625
82	236	618
83	237	610
84	238	604
85	240	597
86	241	591
87	242	584
88	244	578
89	245	571
90	246	565
91	247	559
92	248	553
93	249	547
94	250	541
95	252	535
96	253	530
97	254	525
98	255	519
99	256	513
100	258	508
101	259	503
102	260	498
103	261	493
104	263	488
105	264	483
106	265	478
107	266	474
108	267	469
109	268	464
110	269	459
111	270	454
112	272	450
113	273	446
114	274	441
115	275	437
116	276	432
117	277	428
118	278	424
119	280	420
120	281	415
121	282	411
122	283	407
123	284	403
124	285	399
125	286	396
126	287	392
127	288	388
128	289	384
129	291	380
130	292	377
131	293	373
132	294	369
133	295	366
134	296	362
135	297	359
136	299	355
137	300	352
138	301	349
139	302	345
140	303	342
141	305	339
142	306	336
143	307	332
144	308	329
145	309	326
146	310	323
147	312	320
148	313	317
149	314	314
150	315	311
151	316	308
152	317	305
153	319	302
154	320	299
155	321	296
156	322	293
157	323	290
158	324	288
159	325	285
160	326	282
161	327	279
162	329	276
163	330	274
164	331	271
165	332	268
166	333	265
167	334	263
168	335	260
169	337	258
170	338	255
171	340	253
172	341	250
173	342	247
174	343	245
175	344	242
176	345	240
177	347	237
178	348	235
179	349	233
180	350	230
181	352	228
182	353	225
183	354	223
184	355	221
185	357	218
186	358	216
187	359	214
188	360	211
189	362	209
190	363	207
191	364	205
192	366	202
193	367	200
194	368	198
195	369	196
196	370	193
197	371	191
198	372	189
199	373	186
200	375	184
201	376	182
202	377	180
203	378	178
204	379	175
205	380	173
206	381	171
207	383	169
208	384	167
209	385	165
210	387	163
211	388	161
212	390	159
213	391	157
214	392	155
215	393	153
216	395	151
217	396	149
218	397	146
219	398	144
220	399	142
221	400	140
222	401	138
223	402	136
224	404	134
225	405	132
226	406	130
227	407	128
228	408	126
229	409	124
230	410	122
231	411	120
232	412	118
233	414	116
234	415	114
235	416	112
236	417	110
237	418	109
238	419	107
239	420	105
240	422	103
241	423	101
242	424	99
243	425	97
244	426	95
245	427	93
246	428	92
247	429	90
248	431	88
249	432	86
250	433	84
251	434	82
252	436	81
253	437	79
254	438	77
255	439	75
256	441	73
257	442	71
258	443	70
259	444	68
260	445	66
261	446	64
262	447	63
263	448	61
264	450	59
265	451	57
266	452	55
267	453	54
268	454	52
269	455	50
270	456	48
271	457	47
272	458	45
273	460	43
274	461	41
275	462	40
276	463	38
277	464	36
278	465	35
279	466	33
280	467	31
281	468	29
282	469	28
283	470	26
284	472	24
285	473	23
286	474	21
287	475	19
288	476	18
289	477	16
290	478	14
291	479	13
292	480	11
293	481	9
294	482	8
295	484	6
296	485	4
297	486	3
298	487	1
299	488	0
